kernel,n_samples,seed,criterion,time_trad,r2_trad,mae_trad,rmse_trad,n_sv_trad,time_sub,r2_sub,mae_sub,rmse_sub,n_sv_sub,speedup,r2_diff,mae_improvement,efficiency
rbf,1000,42,Residual,9.883657693862917,0.8322293288160514,1.68033072658637,2.121490735795585,798,12.074709415435793,0.6978145865595823,2.3226676000733573,2.847212404731954,129,0.8185420744973019,-0.1344147422564691,-38.22681233663501,0.0577914186214308
rbf,1000,42,Spatial,9.883657693862917,0.8322293288160514,1.68033072658637,2.121490735795585,798,12.035810947418211,0.7171081443225089,2.194252679156424,2.7548207204305712,211,0.8211875159091832,-0.1151211844935424,-30.584571503616917,0.0595812070707487
rbf,1000,123,Residual,9.883657693862917,0.8322293288160514,1.68033072658637,2.121490735795585,798,13.035207033157349,0.6973769080357046,2.296401197233497,2.849273577714996,119,0.7582279029954866,-0.1348524207803467,-36.66364370415862,0.0534994884440119
rbf,1000,123,Spatial,9.883657693862917,0.8322293288160514,1.68033072658637,2.121490735795585,798,12.49323868751526,0.7396340232191232,2.079204661095902,2.6428665534116424,272,0.7911205365618965,-0.0925953055969281,-23.73782304867169,0.0592027449181975
rbf,1000,456,Residual,9.883657693862917,0.8322293288160514,1.68033072658637,2.121490735795585,798,12.7168869972229,0.7025882364398837,2.234556020118266,2.8246340477695813,176,0.7772073225170041,-0.1296410923761677,-32.98310771581362,0.0552484453619281
rbf,1000,456,Spatial,9.883657693862917,0.8322293288160514,1.68033072658637,2.121490735795585,798,12.837259531021118,0.7518765806820442,2.0598543686647,2.5799839090012053,287,0.7699195977131371,-0.0803527481340071,-22.586246628325423,0.0585698667901152
rbf,1000,789,Residual,9.883657693862917,0.8322293288160514,1.68033072658637,2.121490735795585,798,17.170011043548584,0.708221439840421,2.297485448117811,2.7977558148395905,134,0.5756349060460608,-0.1240078889756304,-36.728169744607634,0.041247582080416
rbf,1000,789,Spatial,9.883657693862917,0.8322293288160514,1.68033072658637,2.121490735795585,798,13.6066632270813,0.7665692929208964,2.013366893914444,2.502430999810921,299,0.7263836496071647,-0.065660035895155,-19.81967966536229,0.0563377868715965
rbf,1000,1011,Residual,9.883657693862917,0.8322293288160514,1.68033072658637,2.121490735795585,798,11.910880088806152,0.7412547336919655,2.131671340616621,2.63462813450991,242,0.8298007888729884,-0.0909745951240859,-26.860225007440004,0.0622334141696713
rbf,1000,1011,Spatial,9.883657693862917,0.8322293288160514,1.68033072658637,2.121490735795585,798,11.895915269851685,0.7403303747958989,2.0712535546533104,2.639329999824282,284,0.8308446613529168,-0.0918989540201524,-23.264636055373987,0.0622339986459174
rbf,5000,42,Residual,46.34688973426819,0.9093310864990112,1.1729539640716566,1.4927360511887662,1980,14.078847885131836,0.7822459115373696,1.7668377409199605,2.313326723316513,496,3.291951877909944,-0.1270851749616416,-50.63146509064722,0.0555617844527939
rbf,5000,42,Spatial,46.34688973426819,0.9093310864990112,1.1729539640716566,1.4927360511887662,1980,13.001378774642944,0.8149348469083249,1.587063356255125,2.1326330792549566,614,3.5647672864250515,-0.0943962395906863,-35.30482907837039,0.0626806480323241
rbf,5000,123,Residual,46.34688973426819,0.9093310864990112,1.1729539640716566,1.4927360511887662,1980,13.23270344734192,0.8119337326967381,1.616845429857708,2.149855489999825,592,3.502450570187756,-0.0973973538022731,-37.843894933879405,0.0613581144569391
rbf,5000,123,Spatial,46.34688973426819,0.9093310864990112,1.1729539640716566,1.4927360511887662,1980,12.312502384185793,0.813647327572449,1.6821241574147052,2.1400387066759547,624,3.7642136657610927,-0.0956837589265622,-43.409222266113,0.0660830188847313
rbf,5000,456,Residual,46.34688973426819,0.9093310864990112,1.1729539640716566,1.4927360511887662,1980,13.444395303726196,0.7798123908852811,1.775235997888159,2.326217152631981,449,3.4473019192929315,-0.12951869561373,-51.34745712660451,0.0580027865343375
rbf,5000,456,Spatial,46.34688973426819,0.9093310864990112,1.1729539640716566,1.4927360511887662,1980,12.49402666091919,0.7952249992661834,1.7082972301366035,2.2433254530612947,448,3.709523838238587,-0.1141060872328277,-45.64060333677702,0.0636484154266786
rbf,5000,789,Residual,46.34688973426819,0.9093310864990112,1.1729539640716566,1.4927360511887662,1980,11.052720069885254,0.7883865820365088,1.7202167367657617,2.280475531548912,502,4.19325645101128,-0.1209445044625023,-46.65679894157143,0.0713296434770462
rbf,5000,789,Spatial,46.34688973426819,0.9093310864990112,1.1729539640716566,1.4927360511887662,1980,11.866514682769775,0.7900985976606824,1.6991130508590522,2.2712319343363503,540,3.905686797957959,-0.1192324888383288,-44.85760762178149,0.0665821952597344
rbf,5000,1011,Residual,46.34688973426819,0.9093310864990112,1.1729539640716566,1.4927360511887662,1980,12.004720211029053,0.7442908389655718,1.91821800849232,2.5068419838260736,323,3.8607221925662274,-0.1650402475334393,-63.5373652546124,0.0619998488829229
rbf,5000,1011,Spatial,46.34688973426819,0.9093310864990112,1.1729539640716566,1.4927360511887662,1980,12.929359674453735,0.7944324948389938,1.7144600066567826,2.247662233789661,624,3.584623747906243,-0.1148985916600173,-46.16600984964529,0.061444071078683
rbf,10000,42,Residual,198.5026774406433,0.9303027693542276,1.045328685788418,1.316017265482069,7810,16.11522126197815,0.8580468951774722,1.4146098477932465,1.878132698753201,1141,12.31771343462628,-0.0722558741767555,-35.32679883612928,0.053244499794857
rbf,10000,42,Spatial,198.5026774406433,0.9303027693542276,1.045328685788418,1.316017265482069,7810,14.464937448501589,0.8268455261882421,1.5546147322094843,2.074295782985966,1074,13.723023562829583,-0.1034572431659855,-48.72018278508713,0.0571620533536351
